2b814947-2768-4fb5-b70e-5974bd6ffa23,Aziz Şenol Filiz,,,,
2eec1f2c-90f7-4d0c-8a21-72516e3adac1,Selver Tekyiğit,,,,
2f25dbe7-240f-4141-b092-c6f79a9a863c,Halit Bekir Sabarkan,,,,
c880c859-d387-4d18-99db-cc14ef1d82d6,Selami Bertuğ,,,,
f57f6a81-8e70-4a76-8962-8276127cb8f3,Katip Çelebi,,,,1
0ffd23ab-7948-4ed0-bc8e-1c8b99105b3f,Amy Brodo,USA,,,
cfa94338-38a9-43b2-9174-c718216b7a28,Seyyid Ahmet Bedevi,,,,
da0af550-3549-4319-a544-db55e47f03d0,Hocazade Mehmed Enveri,,,,
61d7fca9-0431-4479-a87a-8e5920a32187,M. Aziz Bolel,,,,
fe550387-35fe-4ce4-85c9-2fa1dff301e1,Kara İsmail Ağa,,1674,,1
6b31f595-1fee-4bae-9cf9-fa3810731fed,İbrahim Oytun,,,,
d1233271-3e35-480a-8e34-cc96044d4c5d,Yavuz S. Baştuğ,,,,
582ed11b-5b45-40c5-afdc-c02a77c695e3,Ersin Çelik,,,,
6efe9ce6-9074-4c2b-b7c2-96a1590c3fa4,Malatyalı Fahri Kayahan,,,,
d5fa36c8-8d6e-4fe2-b3c1-50dcf3e05575,Kuloğlu,,,,
7586560f-2457-485e-a099-41b45e9af5ab,Şevki Bey,,1860,,3
59c2dcd6-642d-4cde-ae99-85cf3e0974b4,Acemlerin,Iran,,,
1b4dfd30-53d8-4b68-bb19-741b30d6c346,Dilek Aktaşoğlu,,,,
c9095b1a-6e47-4171-a9e6-6b2e154235b0,Ümit Mutlu,,,,4
379a87c0-8c2d-41af-8a91-b5c947bb4813,Adnan Schanan,"Arabia, Iraq",,,
c4727690-41bb-453b-947d-5ac82a477100,Erkan Dedeoğlu,,,,
17bb72a5-7f47-46ae-8def-c584aa5fc01b,Agopos Alyanak,"Armenia, Turkey",,,
72a46f21-5c99-4c65-9789-fddc1106f651,Kömürcüzade Hafız Mehmet Efendi,,,,
69383479-c20b-4a75-85aa-7f7f1f43a411,Gülderen Küpçü,,,,
0bf88572-db68-4b2c-9a24-45e8cd0279f4,Güniz Akcan,,,,
f5f93b25-cf1e-4585-b274-5942469375ec,Savaş Ş. Barkçin,,,,
104289d6-3517-48ef-bcc0-a9dd80371128,Ali Sinan Erdemsel,,,,
e9bfa361-28a3-407a-bcb2-1e2cfa298c82,Hafız Şaşı Osman Efendi,,,,
fc0d9b40-9192-4fbc-92e1-c5ce2ff722d2,Fulya Akaydın,,,,
77061198-3af1-4599-aa32-a7bc961b331e,Ali Rifat Çağatay,,1869,,3
a93ba906-62a0-4ca7-92ee-7a58f06325d3,Şivelioğlu Yorga,,,,1
b8d1cda0-6a3e-45a4-97f8-6695a41bfd15,Caner Altınbaş,,,,
1ae99bdf-d02b-45c1-bdfd-3d4a4e64ed54,Tahir Mukim,,,,
e9123b97-0dad-4092-96c7-fc7b5790f711,Ali Ufki,,,,
93446659-c396-4411-b6af-2fca42693c16,Halil Edib Bey,,,,
d27356b9-8bfb-4725-a701-f157f1881e29,Bedri Ziya Aktuna,,,,
9c1d93ed-c11b-4601-9e8c-b1d0e90d4c4c,Enderuni Vasıf,,,,
b54d2189-ae9c-49a2-9459-4b670ed9906c,Selim Aru,,14-6-1910,,4
b2415292-1cf4-4dc9-beea-3c350aba930b,Hasan Ferit Alnar,,1906,,4
8bd33ecc-f5ba-4904-8716-084344bfb9e4,Abdurrahman Refia Efendi,,,,
77f07fe5-bc4f-43e3-92be-8b3b842cd740,Ekrem Güyer,,1921,,4
79192ae7-7953-474b-bcd5-fd61bd337bb5,Pelin Değirmenci,,,,
b8b24ca8-e429-414a-9336-272ed8f131e0,Fahri Karaduman,,,,
6613416d-a90c-47ca-828a-bd550a153abe,Leyla Yılmaz,,,,
e3d3f39f-f597-41c6-858d-e04b6ecd65c3,Vasilaki Efendi,"Armenia, Turkey",,,
d227a44e-13fe-4b46-a53f-7e92aaa1d3d2,Cengizhan Sönmez,,,,
8c5d2243-2f30-49ee-9b53-ace79b91b62a,Muhittin Erev,,,,4
197f22ea-f2ab-46f7-8b72-708411107d38,Şadi Kurtuluş,,,,
232c55c8-cc04-4ce4-92c5-633c82c8b380,Türker Dinletir,,,,
c9914ae5-83b4-4940-85f9-499c1021af99,Ali Rıza İnan,,,,
18ea1e6f-a077-4ee5-9564-aa8b9a1f2140,Necdet Atılgan,,,,
e54fd669-ec68-4807-8e9e-dcd861c62f69,Osman Kırklıkçı,,,,
b5481038-251d-4c64-8f33-488c9cb43b3b,Süleyman Taşpınarlı,,,,
7273be74-fdca-4e76-888d-37a84ae20860,Volkan Ertem,,,,
